id_empresa,ene_des_cod,ene_sum_ele,ene_pag_ali,ene_us_anu,ene_con_mes_ene_kwh,ene_con_mes_ene_val,ene_con_mes_feb_kwh,ene_con_mes_feb_val,ene_con_mes_mar_kwh,ene_con_mes_mar_val,ene_con_mes_abr_kwh,ene_con_mes_abr_val,ene_con_mes_may_kwh,ene_con_mes_may_val,ene_con_mes_jun_kwh,ene_con_mes_jun_val,ene_con_mes_jul_kwh,ene_con_mes_jul_val,ene_con_mes_ago_kwh,ene_con_mes_ago_val,ene_con_mes_sep_kwh,ene_con_mes_sep_val,ene_con_mes_oct_kwh,ene_con_mes_oct_val,ene_con_mes_nov_kwh,ene_con_mes_nov_val,ene_con_mes_dic_kwh,ene_con_mes_dic_val,ene_con_anu_kwh,ene_con_anu_val,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD,EMPRESAS_VALIDAS,empresa_unica
13601920012,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601920012,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601920012,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601920012,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601920012,1,1,2,100,71226,4395.21,65950,4099.97,63968,3819.33,69129,4581.59,67741,5565.46,22957,5426.83,2824,5825.66,24316,5581.71,26742,5875.42,23972,5478.14,21740,4871.08,23155,5437.9,483720,60958.3,1.05546492659054,C,5,C,1,0
13601926011,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601926011,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601926011,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601926011,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601926011,1,1,2,100,17244.23,1066.24,14220.51,879.28,12011.28,755.41,8609.46,515.86,9710.93,776.07,21274.7,1729.21,24603.45,2076.38,30053.89,2477.04,25093.88,2044.49,36762.59,3058.81,49213.84,3966.38,36180.85,2915.99,284979.61,22261.16,1.05546492659054,C,5,C,1,0
13601927017,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601927017,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601927017,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601927017,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
13601927017,1,1,2,100,37775.82,2335.75,31069.27,1921.07,29949.52,1883.58,24179.91,1448.81,28450.92,2273.73,58344.26,4742.24,37824.97,3192.19,37760.67,3192.19,36120.98,2942.91,37456.94,3116.58,31845.9,2566.62,41773.12,3366.7,432552.28,32982.37,1.05546492659054,C,5,C,1,0
13601928013,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,1
13601928013,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13601928013,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13601928013,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C,1,0
13601928013,1,1,2,100,27490,1989.49,29713,2086.95,27118,1920.76,26437,1893.02,23544,2136.43,28022,2540.95,29631,2717.53,28781,2624.13,29666,2692.9,29892,2702.55,25591,2376.38,25591,2376.38,331476,28057.47,1.34308510638298,C,4,C,1,0
13601929010,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,1
13601929010,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C,1,0
