id_empresa,agu_res_des_cod,agu_res_des_tip,agu_res_gen,agu_res_por_anio,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
13601930018,62,2,2, ,1.05546492659054,C,5,C
13601930018,52,2,2, ,1.05546492659054,C,5,C
13601930018,42,2,2, ,1.05546492659054,C,5,C
13601930018,32,2,2, ,1.05546492659054,C,5,C
13601930018,22,2,2, ,1.05546492659054,C,5,C
13601930018,71,1, , ,1.05546492659054,C,5,C
13601930018,61,1, , ,1.05546492659054,C,5,C
13601930018,51,1, , ,1.05546492659054,C,5,C
13601930018,41,1, , ,1.05546492659054,C,5,C
13601930018,31,1, , ,1.05546492659054,C,5,C
13601930018,21,1, , ,1.05546492659054,C,5,C
13601930018,11,1, , ,1.05546492659054,C,5,C
13601931014,12,2,1,100,1.05546492659054,C,5,C
13601931014,72,2,2, ,1.05546492659054,C,5,C
13601931014,62,2,2, ,1.05546492659054,C,5,C
13601931014,52,2,2, ,1.05546492659054,C,5,C
13601931014,42,2,2, ,1.05546492659054,C,5,C
13601931014,32,2,2, ,1.05546492659054,C,5,C
13601931014,22,2,2, ,1.05546492659054,C,5,C
13601931014,71,1, , ,1.05546492659054,C,5,C
13601931014,61,1, , ,1.05546492659054,C,5,C
13601931014,51,1, , ,1.05546492659054,C,5,C
13601931014,41,1, , ,1.05546492659054,C,5,C
13601931014,31,1, , ,1.05546492659054,C,5,C
13601931014,21,1, , ,1.05546492659054,C,5,C
13601931014,11,1, , ,1.05546492659054,C,5,C
13601937012,12,2,1,100,3.72254335260116,C,3,C
13601937012,72,2,2, ,3.72254335260116,C,3,C
13601937012,62,2,2, ,3.72254335260116,C,3,C
13601937012,52,2,2, ,3.72254335260116,C,3,C
13601937012,42,2,2, ,3.72254335260116,C,3,C
13601937012,32,2,2, ,3.72254335260116,C,3,C
13601937012,22,2,2, ,3.72254335260116,C,3,C
13601937012,71,1, , ,3.72254335260116,C,3,C
13601937012,61,1, , ,3.72254335260116,C,3,C
13601937012,51,1, , ,3.72254335260116,C,3,C
13601937012,41,1, , ,3.72254335260116,C,3,C
13601937012,31,1, , ,3.72254335260116,C,3,C
13601937012,21,1, , ,3.72254335260116,C,3,C
13601937012,11,1, , ,3.72254335260116,C,3,C
13601946011,12,2,1,100,1.40816326530612,I,4,I
13601946011,11,1, , ,1.40816326530612,I,4,I
13601946011,21,1, , ,1.40816326530612,I,4,I
13601946011,31,1, , ,1.40816326530612,I,4,I
13601946011,41,1, , ,1.40816326530612,I,4,I
13601946011,51,1, , ,1.40816326530612,I,4,I
13601946011,61,1, , ,1.40816326530612,I,4,I
13601946011,71,1, , ,1.40816326530612,I,4,I
13601946011,22,2,2, ,1.40816326530612,I,4,I
13601946011,32,2,2, ,1.40816326530612,I,4,I
13601946011,52,2,2, ,1.40816326530612,I,4,I
13601946011,62,2,2, ,1.40816326530612,I,4,I
13601946011,72,2,2, ,1.40816326530612,I,4,I
13601946011,42,2,2, ,1.40816326530612,I,4,I
13601954014,12,2,1,100,1.05546492659054,C,5,C
13601954014,72,2,2, ,1.05546492659054,C,5,C
13601954014,62,2,2, ,1.05546492659054,C,5,C
13601954014,52,2,2, ,1.05546492659054,C,5,C
13601954014,42,2,2, ,1.05546492659054,C,5,C
13601954014,32,2,2, ,1.05546492659054,C,5,C
13601954014,22,2,2, ,1.05546492659054,C,5,C
13601954014,71,1, , ,1.05546492659054,C,5,C
13601954014,61,1, , ,1.05546492659054,C,5,C
13601954014,51,1, , ,1.05546492659054,C,5,C
13601954014,41,1, , ,1.05546492659054,C,5,C
13601954014,31,1, , ,1.05546492659054,C,5,C
13601954014,21,1, , ,1.05546492659054,C,5,C
13601954014,11,1, , ,1.05546492659054,C,5,C
13601955011,11,1,1,100,1.34308510638298,C,4,C
13601955011,72,2,2, ,1.34308510638298,C,4,C
13601955011,62,2,2, ,1.34308510638298,C,4,C
13601955011,52,2,2, ,1.34308510638298,C,4,C
13601955011,42,2,2, ,1.34308510638298,C,4,C
13601955011,32,2,2, ,1.34308510638298,C,4,C
13601955011,22,2,2, ,1.34308510638298,C,4,C
13601955011,12,2,2, ,1.34308510638298,C,4,C
13601955011,71,1,2, ,1.34308510638298,C,4,C
13601955011,61,1,2, ,1.34308510638298,C,4,C
13601955011,51,1,2, ,1.34308510638298,C,4,C
13601955011,41,1,2, ,1.34308510638298,C,4,C
13601955011,31,1,2, ,1.34308510638298,C,4,C
13601955011,21,1,2, ,1.34308510638298,C,4,C
13601973019,12,2,1,100,1.30508474576271,H,4,H
13601973019,11,1, , ,1.30508474576271,H,4,H
13601973019,21,1, , ,1.30508474576271,H,4,H
13601973019,31,1, , ,1.30508474576271,H,4,H
13601973019,41,1, , ,1.30508474576271,H,4,H
13601973019,51,1, , ,1.30508474576271,H,4,H
13601973019,61,1, , ,1.30508474576271,H,4,H
13601973019,71,1, , ,1.30508474576271,H,4,H
13601973019,32,2,2, ,1.30508474576271,H,4,H
13601973019,42,2,2, ,1.30508474576271,H,4,H
13601973019,52,2,2, ,1.30508474576271,H,4,H
13601973019,62,2,2, ,1.30508474576271,H,4,H
13601973019,22,2,2, ,1.30508474576271,H,4,H
13601973019,72,2,2, ,1.30508474576271,H,4,H
13601980015,12,2,1,100,1.05546492659054,C,5,C
13601980015,11,1, , ,1.05546492659054,C,5,C
13601980015,21,1, , ,1.05546492659054,C,5,C
13601980015,31,1, , ,1.05546492659054,C,5,C
13601980015,41,1, , ,1.05546492659054,C,5,C
13601980015,51,1, , ,1.05546492659054,C,5,C
13601980015,61,1, , ,1.05546492659054,C,5,C
13601980015,71,1, , ,1.05546492659054,C,5,C
13601980015,22,2,2, ,1.05546492659054,C,5,C
13601980015,32,2,2, ,1.05546492659054,C,5,C
13601980015,42,2,2, ,1.05546492659054,C,5,C
13601980015,52,2,2, ,1.05546492659054,C,5,C
13601980015,72,2,2, ,1.05546492659054,C,5,C
13601980015,62,2,2, ,1.05546492659054,C,5,C
13601986013,11,1,1,100,1.05546492659054,C,5,C
13601986013,21,1,2, ,1.05546492659054,C,5,C
