id_empresa,fue_cap_des_cod,fue_cap_cue,fue_cap_reg,fue_cap_tot_anio,fue_cap_tot_por_con,fue_cap_aut_apr_agu,fue_cap_cua_aut,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
14837957177,4,2, , , , , ,1.07407407407407,B,5,B
14838967176,1,2, , , , , ,1.34308510638298,C,4,C
14838967176,2,2, , , , , ,1.34308510638298,C,4,C
14838967176,3,2, , , , , ,1.34308510638298,C,4,C
14838967176,4,2, , , , , ,1.34308510638298,C,4,C
14839191171,1,1,1,12000,100,1,1,1.07407407407407,B,5,B
14839191171,2,2, , , , , ,1.07407407407407,B,5,B
14839191171,3,2, , , , , ,1.07407407407407,B,5,B
14839191171,4,2, , , , , ,1.07407407407407,B,5,B
14839280131,1,2, , , , , ,1.05546492659054,C,5,C
14839280131,2,2, , , , , ,1.05546492659054,C,5,C
14839280131,3,2, , , , , ,1.05546492659054,C,5,C
14839280131,4,2, , , , , ,1.05546492659054,C,5,C
14839427094,1,2, , , , , ,3.72254335260116,C,3,C
14839427094,2,2, , , , , ,3.72254335260116,C,3,C
14839427094,3,2, , , , , ,3.72254335260116,C,3,C
14839427094,4,2, , , , , ,3.72254335260116,C,3,C
14839545097,1,2, , , , , ,1.05546492659054,C,5,C
14839545097,2,2, , , , , ,1.05546492659054,C,5,C
14839545097,3,2, , , , , ,1.05546492659054,C,5,C
14839545097,4,2, , , , , ,1.05546492659054,C,5,C
14839960175,1,2, , , , , ,1.09090909090909,I,5,I
14839960175,2,2, , , , , ,1.09090909090909,I,5,I
14839960175,4,2, , , , , ,1.09090909090909,I,5,I
14839960175,3,2, , , , , ,1.09090909090909,I,5,I
14840073093,1,2, , , , , ,1.05546492659054,C,5,C
14840073093,2,2, , , , , ,1.05546492659054,C,5,C
14840073093,3,2, , , , , ,1.05546492659054,C,5,C
14840073093,4,2, , , , , ,1.05546492659054,C,5,C
14840511015,2,1,1,4800,100,1,1,1.05546492659054,C,5,C
14840511015,1,2, , , , , ,1.05546492659054,C,5,C
14840511015,3,2, , , , , ,1.05546492659054,C,5,C
14840511015,4,2, , , , , ,1.05546492659054,C,5,C
14841090170,1,2, , , , , ,1.40816326530612,I,4,I
14841090170,2,2, , , , , ,1.40816326530612,I,4,I
14841090170,3,2, , , , , ,1.40816326530612,I,4,I
14841090170,4,2, , , , , ,1.40816326530612,I,4,I
14842272182,1,2, , , , , ,1.34308510638298,C,4,C
14842272182,2,2, , , , , ,1.34308510638298,C,4,C
14842272182,3,2, , , , , ,1.34308510638298,C,4,C
14842272182,4,2, , , , , ,1.34308510638298,C,4,C
14842765138,1,2, , , , , ,1.05546492659054,C,5,C
14842765138,2,2, , , , , ,1.05546492659054,C,5,C
14842765138,3,2, , , , , ,1.05546492659054,C,5,C
14842765138,4,2, , , , , ,1.05546492659054,C,5,C
14843695176,2,1,1,45.36,10,1,1,1.03846153846154,H,5,H
