id_empresa,agu_cap_cod,agu_con_sel,agu_con_alic,agu_con_uni_anio,agu_con_cap_l,agu_con_cap_m3,agu_con_act_prod,agu_con_mes_ene_m3,agu_con_mes_ene_usd,agu_con_mes_feb_m3,agu_con_mes_feb_usd,agu_con_mes_mar_m3,agu_con_mes_mar_usd,agu_con_mes_abr_m3,agu_con_mes_abr_usd,agu_con_mes_may_m3,agu_con_mes_may_usd,agu_con_mes_jun_m3,agu_con_mes_jun_usd,agu_con_mes_jul_m3,agu_con_mes_jul_usd,agu_con_mes_ago_m3,agu_con_mes_ago_usd,agu_con_mes_sep_m3,agu_con_mes_sep_usd,agu_con_mes_oct_m3,agu_con_mes_oct_usd,agu_con_mes_nov_m3,agu_con_mes_nov_usd,agu_con_mes_dic_m3,agu_con_mes_dic_usd,agu_con_anu_m3,agu_con_anu_usd,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
14739670170,1,1,2, , , ,25,6,1.86,36,16.24,5,1.55,5,1.55,5,1.55,58,32.11,4,1.24,8,2.48,9,2.79,4,1.24,4,1.24,6,1.86,150,65.71,1.34308510638298,C,4,C
14740303181,1,1,2, , , , ,54,22.9,99999,99999,80,43,45,17.24,76,39.52,99999,99999,99999,99999,78,41.26,66,31.44,84,46.64,99999,99999,99999,99999,483,242,1.34308510638298,C,4,C
14740303181,2,1, ,120,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
14740303181,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
14740492170,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
14740492170,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
14740492170,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
14741721172,2,1, ,46,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
14741721172,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.72254335260116,C,3,C
14741721172,1,1,2, , , ,90,124,89.28,47,33.84,34,24.48,39,28.08,26,18.72,29,20.88,41,29.52,36,25.92,30,21.6,44,31.68,24,17.28,28,20.16,502,361.44,3.72254335260116,C,3,C
14741845173,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.07407407407407,B,5,B
14741845173,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.07407407407407,B,5,B
14741845173,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.07407407407407,B,5,B
14742675093,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
14742675093,1,1,2, , , ,95,293,240.74,270,219.63,189,145.27,253,206,99999,99999,99999,99999,275,232.09,316,279.57,99999,99999,286,236.76,99999,99999,518,560.6,2400,2120.66,1.05546492659054,C,5,C
14742675093,3,1, ,6, ,7,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1.05546492659054,C,5,C
14743104090,1,1,2, , , , ,83,49,84,50,84,50,106,70,106,70,95,61,91,57,96,62,68,37,100,64,84,51,99999,99999,997,621,1.34308510638298,C,4,C
14743104090,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
14743104090,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.34308510638298,C,4,C
14743391226,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.50724637681159,H,3,H
14743391226,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.50724637681159,H,3,H
14743391226,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.50724637681159,H,3,H
